session_id,customer_id,session_start_ts,source,medium,campaign,device_category,page_views,session_duration_sec,converted
SES-0001,CUST-001,2025-01-05 10:15:00,google,organic,,desktop,6,320,true
SES-0002,CUST-002,2025-01-05 11:30:00,google,cpc,spring_sale,mobile,4,180,true
SES-0003,,2025-01-06 09:00:00,direct,none,,desktop,2,60,false
SES-0004,CUST-003,2025-02-14 08:55:00,facebook,social,valentine,mobile,7,410,true
SES-0005,CUST-001,2025-02-22 13:50:00,email,email,winter_newsletter,desktop,5,260,true
SES-0006,CUST-004,2025-03-11 18:20:00,google,cpc,spring_sale,mobile,8,500,true
SES-0007,,2025-03-15 07:45:00,bing,organic,,tablet,1,20,false
SES-0008,CUST-005,2025-03-18 07:50:00,google,organic,,mobile,3,140,true
SES-0009,CUST-002,2025-04-02 19:30:00,email,email,easter_promo,desktop,6,300,true
SES-0010,CUST-003,2025-04-10 12:00:00,direct,none,,mobile,4,195,true
SES-0011,CUST-006,2025-04-15 09:25:00,google,cpc,spring_sale,desktop,3,90,true
SES-0012,,2025-04-20 08:00:00,referral,referral,,tablet,1,15,false
SES-0013,CUST-004,2025-05-01 10:50:00,facebook,social,,mobile,5,280,false
SES-0014,CUST-001,2025-05-10 14:20:00,google,organic,,desktop,9,480,true
